; CSV, generated by libsigrok4DSL 0.2.0 on Fri Sep 18 22:17:24 2026
; Channels (12/16)
; Sample rate: 20 MHz
; Sample count: 2.896 M Samples
Time(s), 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
0,0,0,0,0,0,1,1,0,1,1,1,1
2.55e-06,0,0,0,0,0,1,1,0,1,0,1,0
2.8e-06,0,0,0,0,0,1,1,0,1,0,1,1
6.1e-06,0,0,0,0,0,1,1,0,1,1,1,0
6.35e-06,0,0,0,0,0,1,1,0,1,1,1,1
6.4e-06,1,0,1,1,1,1,1,0,1,1,1,1
9.6e-06,1,0,1,1,1,1,1,0,1,1,1,0
9.65e-06,1,0,1,1,1,1,1,0,1,0,1,0
9.85e-06,1,0,1,1,1,1,1,0,1,0,1,1
1.315e-05,1,0,1,1,1,1,1,0,1,0,1,0
1.34e-05,1,0,1,1,1,1,1,0,1,0,1,1
1.665e-05,1,0,1,1,1,1,1,0,1,0,1,0
1.67e-05,1,0,1,1,1,1,1,0,1,1,1,0
1.695e-05,1,0,1,1,1,1,1,0,0,1,1,1
1.7e-05,0,0,1,0,0,1,1,0,0,1,1,1
2.02e-05,0,0,1,0,0,1,1,0,0,1,1,0
2.025e-05,0,0,1,0,0,1,1,0,0,0,0,0
2.045e-05,0,0,1,0,0,1,1,0,0,0,0,1
2.375e-05,0,0,1,0,0,1,1,0,0,0,0,0
2.4e-05,0,0,1,0,0,1,1,0,0,0,0,1
2.405e-05,1,0,1,0,0,1,1,0,1,1,1,1
2.41e-05,1,0,0,0,0,1,1,0,1,1,1,1
2.725e-05,1,0,0,0,0,1,1,0,1,1,1,0
2.73e-05,1,0,0,0,0,1,1,0,1,0,1,0
2.755e-05,1,0,0,0,0,1,1,0,1,0,1,1
3.08e-05,1,0,0,0,0,1,1,0,1,0,1,0
3.085e-05,1,0,0,0,0,1,1,0,1,1,1,0
3.105e-05,1,0,0,0,0,1,1,0,1,1,1,1
3.11e-05,1,0,1,0,0,1,1,0,1,1,1,1
3.435e-05,1,0,1,0,0,1,1,0,1,0,0,0
3.46e-05,1,0,1,0,0,1,1,0,1,0,0,1
3.785e-05,1,0,1,0,0,1,1,0,1,0,0,0
3.81e-05,1,0,1,0,0,1,1,0,1,0,0,1
4.14e-05,1,0,1,0,0,1,1,0,1,0,0,0
4.145e-05,1,0,1,0,0,1,1,0,1,1,1,0
4.165e-05,1,0,1,0,0,1,1,0,1,1,1,1
4.17e-05,1,1,1,0,0,1,1,0,0,1,1,1
