"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Description"
"C1,C2","2","1uF","","","","","",""
"C3,C4,C5,R4,R5,R7,R8","7","TBC","","","","","",""
"D1,SW3","2","HLT","","","","","",""
"D2","1","ASTABLE","","","","","",""
"R1","1","1k","","","","","",""
"R2,RV1","2","1M","","","","","",""
"R3,R6","2","10k","","","","","",""
"SW1","1","STEP (N.O.)","","","","","",""
"SW2","1","RUN / MANUAL","","","","","",""
"U1","1","NE556","","","","","",""
"U2","1","SN7400","","","","","",""
"U3","1","74LS157","","","","","",""
